,DataPoint,Cycle Index,Step Index,Step Type,Time,Total Time,Current(A),Voltage(V),Capacity(Ah),Energy(Wh),Date,Power(W),V1(V),T1(℃),Aux. ΔV(V),Aux. ΔT(℃)
0,1,1,1,Rest,00:00:00,00:00:00,0.0,-0.0062,0.0,0.0,2024-07-30 20:14:11,0.0,-0.0235,25.1,0,0
1,2,1,1,Rest,00:00:01,00:00:01,0.0,-0.004,0.0,0.0,2024-07-30 20:14:12,0.0,-0.0089,25.1,0,0
2,3,1,1,Rest,00:00:02,00:00:02,0.0,-0.004,0.0,0.0,2024-07-30 20:14:13,0.0,-0.0244,25.1,0,0
3,4,1,1,Rest,00:00:03,00:00:03,0.0,-0.0043,0.0,0.0,2024-07-30 20:14:14,0.0,-0.0242,24.9,0,0
4,5,1,1,Rest,00:00:04,00:00:04,0.0,0.0009,0.0,0.0,2024-07-30 20:14:15,0.0,0.0016,24.9,0,0
5,6,1,1,Rest,00:00:05,00:00:05,0.0,-0.0043,0.0,0.0,2024-07-30 20:14:16,0.0,-0.013,25.1,0,0
6,7,1,1,Rest,00:00:06,00:00:06,0.0,-0.0021,0.0,0.0,2024-07-30 20:14:17,0.0,-0.0219,25.1,0,0
7,8,1,1,Rest,00:00:07,00:00:07,0.0,-0.0031,0.0,0.0,2024-07-30 20:14:18,0.0,0.0032,25.1,0,0
8,9,1,1,Rest,00:00:08,00:00:08,0.0,-0.0027,0.0,0.0,2024-07-30 20:14:19,0.0,-0.0181,25.1,0,0
9,10,1,1,Rest,00:00:09,00:00:09,0.0,-0.0074,0.0,0.0,2024-07-30 20:14:20,0.0,0.0127,25.1,0,0
10,11,1,1,Rest,00:00:10,00:00:10,0.0,-0.0018,0.0,0.0,2024-07-30 20:14:21,0.0,-0.0096,25.1,0,0
11,12,1,1,Rest,00:00:11,00:00:11,0.0,-0.0037,0.0,0.0,2024-07-30 20:14:22,0.0,-0.0116,25.1,0,0
12,13,1,1,Rest,00:00:12,00:00:12,0.0,-0.0024,0.0,0.0,2024-07-30 20:14:23,0.0,0.0112,25.1,0,0
13,14,1,1,Rest,00:00:13,00:00:13,0.0,-0.0027,0.0,0.0,2024-07-30 20:14:24,0.0,-0.0255,25.1,0,0
14,15,1,1,Rest,00:00:14,00:00:14,0.0,-0.0027,0.0,0.0,2024-07-30 20:14:25,0.0,0.0063,25.1,0,0
15,16,1,1,Rest,00:00:15,00:00:15,0.0,-0.0071,0.0,0.0,2024-07-30 20:14:26,0.0,-0.0286,24.9,0,0
16,17,1,1,Rest,00:00:16,00:00:16,0.0,-0.0021,0.0,0.0,2024-07-30 20:14:27,0.0,-0.0118,24.9,0,0
17,18,1,1,Rest,00:00:17,00:00:17,0.0,-0.0043,0.0,0.0,2024-07-30 20:14:28,0.0,-0.0284,25.1,0,0
18,19,1,1,Rest,00:00:18,00:00:18,0.0,-0.0021,0.0,0.0,2024-07-30 20:14:29,0.0,0.005,24.9,0,0
19,20,1,1,Rest,00:00:19,00:00:19,0.0,-0.0046,0.0,0.0,2024-07-30 20:14:30,0.0,-0.0158,25.1,0,0
20,21,1,1,Rest,00:00:20,00:00:20,0.0,-0.0027,0.0,0.0,2024-07-30 20:14:31,0.0,0.0135,25.1,0,0
21,22,1,1,Rest,00:00:21,00:00:21,0.0,-0.0062,0.0,0.0,2024-07-30 20:14:32,0.0,-0.0218,24.9,0,0
22,23,1,1,Rest,00:00:22,00:00:22,0.0,-0.0012,0.0,0.0,2024-07-30 20:14:33,0.0,-0.0192,24.9,0,0
23,24,1,1,Rest,00:00:23,00:00:23,0.0,-0.0052,0.0,0.0,2024-07-30 20:14:34,0.0,0.0061,25.1,0,0
24,25,1,1,Rest,00:00:24,00:00:24,0.0,0.0009,0.0,0.0,2024-07-30 20:14:35,0.0,-0.0186,24.9,0,0
25,26,1,1,Rest,00:00:25,00:00:25,0.0,-0.004,0.0,0.0,2024-07-30 20:14:36,0.0,-0.0163,25.1,0,0
26,27,1,1,Rest,00:00:26,00:00:26,0.0,-0.0071,0.0,0.0,2024-07-30 20:14:37,0.0,0.0079,25.1,0,0
27,28,1,1,Rest,00:00:27,00:00:27,0.0,-0.0015,0.0,0.0,2024-07-30 20:14:38,0.0,0.0204,25.1,0,0
28,29,1,1,Rest,00:00:28,00:00:28,0.0,-0.0052,0.0,0.0,2024-07-30 20:14:39,0.0,-0.0184,25.1,0,0
29,30,1,1,Rest,00:00:29,00:00:29,0.0,-0.0043,0.0,0.0,2024-07-30 20:14:40,0.0,-0.0081,25.1,0,0
