,Cycle Index,Step Index,Step Number,Step Type,Step Time,Oneset Date,End Date,Capacity(Ah),Spec. Cap.(mAh/g),Chg. Cap.(Ah),Chg. Spec. Cap.(mAh/g),DChg. Cap.(Ah),DChg. Spec. Cap.(mAh/g),Net DChg. Cap.(Ah),Energy(Wh),Spec. Energy(mWh/g),Chg. Energy(Wh),Chg. Spec. Energy(mWh/g),DChg. Energy(Wh),DChg. Spec. Energy(mWh/g),Net DChg. Energy(Wh),Super Capacitor(F),Oneset Volt.(V),Chg. Oneset Volt.(V),DChg. Oneset Volt.(V),End Voltage(V),End of Chg.Volt.(V),End of DChg.Volt.(V),Chg. Med. Volt.(V),DChg. Med. Volt.(V),Starting current(A),End Current(A),DCIR(mΩ),T1 Aux.CH oneset temperature(℃),T1 Aux.CH End T(℃),T1 Aux. Tmax(℃),T1 Aux. Tmin(℃),V1 Aux.CH oneset voltage(V),V1 Aux.CH End Volt.(V),V1 Aux. Vmax(V),V1 Aux. Vmin(V)
0,1,1,1,Rest,00:00:29,2024-07-30 20:14:11,2024-07-30 20:14:40,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.0062,0.0,0,-0.0031,0.0,0,0.0,0,0.0,0.0,0.0,25.1,24.9,25.1,24.9,-0.0235,-0.0047,0.0204,-0.0286
1,1,2,2,CC Chg,00:10:00,2024-07-30 20:14:40,2024-07-30 20:24:40,0.0002,164.35,0.0002,164.35,0,0,-0.0002,0.0002,176.29,0.0002,176.29,0,0,-0.0002,0.0,0.0068,0.0068,0,1.0711,1.0711,0,1.0714,0,0.0001,0.001,89189.19,24.9,24.8,25.2,24.8,0.0047,1.0729,1.0823,0.0047
2,1,3,3,Rest,00:05:00,2024-07-30 20:24:41,2024-07-30 20:29:41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.0288,0.0,0,0.0062,0.0,0,0.0,0,0.0,0.0,1108770.16,24.8,25.0,25.0,24.8,1.0694,0.0166,1.0694,-0.0284
3,1,4,4,CC Chg,00:10:00,2024-07-30 20:29:41,2024-07-30 20:39:41,0.0003,331.05,0.0003,331.05,0,0,-0.0003,0.0007,717.76,0.0007,717.76,0,0,-0.0007,34.3448,2.1977,2.1977,0,2.163,2.163,0,2.1713,0,0.002,0.002,1108497.72,25.0,25.0,25.0,24.8,0.0382,2.1624,2.1764,0.0382
4,1,5,5,Rest,00:05:00,2024-07-30 20:39:41,2024-07-30 20:44:41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.004,0.0,0,0.0018,0.0,0,0.0,0,0.0,0.0,1088205.65,25.0,25.0,25.0,24.8,2.1624,0.0156,2.1624,-0.0282
5,1,6,6,CC Chg,00:10:00,2024-07-30 20:44:41,2024-07-30 20:54:41,0.0005,497.0,0.0005,497.0,0,0,-0.0005,0.0016,1620.52,0.0016,1620.52,0,0,-0.0016,54.5488,3.2335,3.2335,0,3.2663,3.2663,0,3.2586,0,0.003,0.003,1085920.7,25.0,24.7,25.0,24.7,-0.0156,3.2586,3.268,-0.0156
6,1,7,7,Rest,00:05:00,2024-07-30 20:54:41,2024-07-30 20:59:41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0065,0.0,0,0.0043,0.0,0,0.0,0,0.0,0.0,1093158.95,24.7,24.7,24.9,24.7,3.2368,-0.0207,3.2368,-0.0281
7,1,8,8,CC Chg,00:10:00,2024-07-30 20:59:41,2024-07-30 21:09:41,0.0007,665.5,0.0007,665.5,0,0,-0.0007,0.0029,2916.83,0.0029,2916.83,0,0,-0.0029,74.173,4.3616,4.3616,0,4.3939,4.3939,0,4.3815,0,0.004,0.004,1094798.99,24.7,24.7,24.9,24.7,0.0207,4.3839,4.3899,0.0207
8,1,9,9,Rest,00:05:00,2024-07-30 21:09:41,2024-07-30 21:14:41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.0158,0.0,0,0.0024,0.0,0,0.0,0,0.0,0.0,1104357.63,24.9,24.8,24.9,24.6,-4.3756,0.0127,0.0287,-4.3756
9,1,10,10,CC Chg,00:10:00,2024-07-30 21:14:41,2024-07-30 21:24:41,0.0007,747.0,0.0007,747.0,0,0,-0.0007,0.0037,3683.47,0.0037,3683.47,0,0,-0.0037,55.5623,4.888,4.888,0,4.9364,4.9364,0,4.9321,0,0.0045,0.0045,1091510.28,24.8,25.0,25.2,24.6,0.0318,4.9341,4.9369,0.0318
10,1,11,11,Rest,00:05:00,2024-07-30 21:24:41,2024-07-30 21:29:41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.0015,0.0,0,0.0037,0.0,0,0.0,0,0.0,0.0,1101717.98,25.0,25.2,25.2,25.0,4.9283,0.0035,4.9283,-0.0281
11,1,12,12,Rest,02:48:01,2024-07-30 21:29:42,2024-07-31 00:17:42,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-0.0232,0.0,0,0.0068,0.0,0,0.0,0,0.0,0.0,0.0,25.2,25.7,26.1,25.0,0.0035,0.0029,0.0296,-0.0292
